Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
RANDALL,9901.00,451,18.90%,574,"52,495"
PEOPLES,9879.00,452,55.90%,1869,"17,664"
WALLS,9792.00,453,25.00%,801,"39,166"
DAVIDSON,9776.00,454,9.60%,269,"102,044"
COLBERT,9728.00,455,45.70%,1544,"21,306"
PAIGE,9722.00,456,52.30%,1766,"18,600"
GILL,9721.00,457,14.20%,430,"68,699"
MCNEAL,9661.00,458,50.00%,1702,"19,321"
MCCLENDON,9658.00,459,54.80%,1871,"17,614"
JAMISON,9651.00,460,36.50%,1211,"26,476"
MAY,9613.00,461,9.40%,270,"101,726"
CONNER,9606.00,462,15.40%,480,"62,335"
ENGLISH,9578.00,463,21.30%,692,"45,032"
GARY,9573.00,464,45.10%,1555,"21,213"
SLAUGHTER,9533.00,465,36.50%,1234,"26,088"
MCMILLAN,9510.00,466,24.40%,810,"38,896"
BLACKMON,9506.00,467,45.90%,1589,"20,711"
GATES,9470.00,468,18.70%,607,"50,748"
LOCKETT,9446.00,469,73.00%,2571,"12,943"
DUDLEY,9384.00,470,27.00%,912,"34,770"
MIMS,9367.00,471,51.30%,1808,"18,248"
HALE,9266.00,472,11.20%,338,"82,955"
GILLIAM,9239.00,473,32.90%,1141,"28,075"
CAIN,9231.00,474,16.00%,516,"57,873"
DIGGS,9213.00,475,68.70%,2468,"13,405"
GOLDEN,9195.00,476,19.20%,648,"47,839"
LOWERY,9188.00,477,22.00%,752,"41,670"
PRESTON,9147.00,478,19.90%,681,"45,850"
WYATT,9122.00,479,17.90%,604,"50,874"
GRIMES,9115.00,480,18.50%,626,"49,245"
BALL,9075.00,481,11.70%,366,"77,561"
TODD,9040.00,482,12.90%,423,"69,810"
MILTON,9030.00,483,45.40%,1652,"19,899"
PAYTON,9023.00,484,39.60%,1440,"22,773"
EVERETT,9021.00,485,23.30%,816,"38,702"
MCCULLOUGH,9019.00,486,20.40%,708,"44,123"
ARRINGTON,8998.00,487,42.40%,1554,"21,216"
SAVAGE,8991.00,488,18.60%,640,"48,367"
MCINTOSH,8989.00,489,22.20%,777,"40,453"
SHEPPARD,8981.00,490,25.30%,889,"35,554"
CROSBY,8973.00,491,23.10%,811,"38,844"
ROWE,8958.00,492,13.50%,452,"66,205"
RANDLE,8957.00,493,68.20%,2524,"13,133"
